Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
21 Jan 26,-22.80,Card ending 3696,,CREDIT CARD PURCHASE,PARKDALE CHIROPRACTIC PARKDALE,-514.55,Medical,Parkdale Chiropractic Clinic,21 Jan 26
21 Jan 26,-13.90,Card ending 3696,,CREDIT CARD PURCHASE,McDonalds 951450 CARRUM DOWNS,-491.75,Restaurants & takeaway,McDonald's (Carrum Downs),21 Jan 26
21 Jan 26,-58.30,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON RETA* AMAZON AU SYDNEY,-477.85,Other shopping,Amazon,21 Jan 26
21 Jan 26,-69.90,Card ending 3696,,CREDIT CARD PURCHASE,CRANBOURNE OSTEOPATHY CRANBOURNE WE,-419.55,Medical,Cranbourne Osteopathy,21 Jan 26
21 Jan 26,-283.88,Card ending 3696,,CREDIT CARD PURCHASE,SMALL IDEAS AIRPORT WEST,-349.65,Media,Small Ideas,21 Jan 26
21 Jan 26,-10.79,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,-65.77,Other shopping,Amazon,21 Jan 26
20 Jan 26,500.00,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,-54.98,Internal transfers,,20 Jan 26
20 Jan 26,-225.00,Card ending 3696,,CREDIT CARD PURCHASE,INTERNET BPAY SANDHURST CLUB LTD,-554.98,Restaurants & takeaway,Sandhurst Club,20 Jan 26
20 Jan 26,-66.93,Card ending 3696,,CREDIT CARD PURCHASE,Ezypay*Air Locker TraininSydney,-329.98,Gym & fitness,Air Locker,20 Jan 26
20 Jan 26,-378.43,Card ending 3696,,CREDIT CARD PURCHASE,Coles Online Hawthorn East,-263.05,Groceries,Coles Online,20 Jan 26
20 Jan 26,-250.00,Card ending 3696,,CREDIT CARD PURCHASE,INTERNET BPAY SANDHURST CLUB LTD,115.38,Restaurants & takeaway,Sandhurst Club,20 Jan 26
20 Jan 26,1212.33,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,365.38,Internal transfers,,20 Jan 26
20 Jan 26,-17.80,Card ending 3696,,CREDIT CARD PURCHASE,RITCHIES CARRUM DOWN CARRUM DOWNS,-846.95,Groceries,Ritchies Supa IGA (Carrum Downs),20 Jan 26
20 Jan 26,-23.40,Card ending 3696,,CREDIT CARD PURCHASE,ALDI STORES COWES,-829.15,Groceries,ALDI (Cowes),20 Jan 26
